idx,x,y,z,u,v,reachable
104,0.4200,0.0847,0.4233,-0.0847,0.1233,1
105,0.4200,0.0738,0.4285,-0.0738,0.1285,1
106,0.4200,0.0630,0.4338,-0.0630,0.1338,1
107,0.4200,0.0516,0.4372,-0.0516,0.1372,1
108,0.4200,0.0401,0.4406,-0.0401,0.1406,1
109,0.4200,0.0284,0.4421,-0.0284,0.1421,1
110,0.4200,0.0168,0.4436,-0.0168,0.1436,1
111,0.4200,0.0051,0.4432,-0.0051,0.1432,1
112,0.4200,-0.0066,0.4428,0.0066,0.1428,1
113,0.4200,-0.0179,0.4406,0.0179,0.1406,1
114,0.4200,-0.0292,0.4383,0.0292,0.1383,1
115,0.4200,-0.0398,0.4343,0.0398,0.1343,1
116,0.4200,-0.0505,0.4302,0.0505,0.1302,1
117,0.4200,-0.0602,0.4246,0.0602,0.1246,1
118,0.4200,-0.0700,0.4190,0.0700,0.1190,1
119,0.4200,-0.0786,0.4119,0.0786,0.1119,1
120,0.4200,-0.0872,0.4049,0.0872,0.1049,1
121,0.4200,-0.0945,0.3966,0.0945,0.0966,1
122,0.4200,-0.1017,0.3884,0.1017,0.0884,1
123,0.4200,-0.1075,0.3791,0.1075,0.0791,1
124,0.4200,-0.1133,0.3699,0.1133,0.0699,1
125,0.4200,-0.1174,0.3600,0.1174,0.0600,1
126,0.4200,-0.1215,0.3501,0.1215,0.0501,1
127,0.4200,-0.1240,0.3398,0.1240,0.0398,1
128,0.4200,-0.1264,0.3295,0.1264,0.0295,1
129,0.4200,-0.1272,0.3190,0.1272,0.0190,1
130,0.4200,-0.1279,0.3086,0.1279,0.0086,1
131,0.4200,-0.1269,0.2983,0.1269,-0.0017,1
132,0.4200,-0.1260,0.2880,0.1260,-0.0120,1
133,0.4200,-0.1234,0.2782,0.1234,-0.0218,1
134,0.4200,-0.1208,0.2683,0.1208,-0.0317,1
135,0.4200,-0.1167,0.2591,0.1167,-0.0409,1
136,0.4200,-0.1126,0.2499,0.1126,-0.0501,1
137,0.4200,-0.1017,0.2333,0.1017,-0.0667,1
138,0.4200,-0.0884,0.2189,0.0884,-0.0811,1
139,0.4200,-0.0731,0.2070,0.0731,-0.0930,1
140,0.4200,-0.0564,0.1978,0.0564,-0.1022,1
141,0.4200,-0.0386,0.1916,0.0386,-0.1084,1
142,0.4200,-0.0203,0.1884,0.0203,-0.1116,1
143,0.4200,-0.0020,0.1883,0.0020,-0.1117,1
144,0.4200,0.0158,0.1910,-0.0158,-0.1090,1
145,0.4200,0.0326,0.1966,-0.0326,-0.1034,1
146,0.4200,0.0481,0.2046,-0.0481,-0.0954,1
147,0.4200,0.0619,0.2150,-0.0619,-0.0850,1
148,0.4200,0.0737,0.2272,-0.0737,-0.0728,1
149,0.4200,0.0831,0.2410,-0.0831,-0.0590,1
150,0.4200,0.0900,0.2559,-0.0900,-0.0441,1
151,0.4200,0.0944,0.2715,-0.0944,-0.0285,1
152,0.4200,0.0961,0.2873,-0.0961,-0.0127,1
153,0.4200,0.0953,0.3029,-0.0953,0.0029,1
154,0.4200,0.0919,0.3179,-0.0919,0.0179,1
155,0.4200,0.0863,0.3319,-0.0863,0.0319,1
156,0.4200,0.0786,0.3446,-0.0786,0.0446,1
