idx,x,y,z,u,v,reachable
88,0.3009,-0.2200,0.0200,-0.0991,-0.2200,1
89,0.2811,-0.2200,0.0200,-0.1189,-0.2200,1
90,0.2613,-0.2200,0.0200,-0.1387,-0.2200,1
91,0.2415,-0.2200,0.0200,-0.1585,-0.2200,1
92,0.2217,-0.2200,0.0200,-0.1783,-0.2200,1
93,0.2019,-0.2200,0.0200,-0.1981,-0.2200,1
94,0.1820,-0.2200,0.0200,-0.2180,-0.2200,1
95,0.1622,-0.2200,0.0200,-0.2378,-0.2200,1
96,0.1424,-0.2200,0.0200,-0.2576,-0.2200,1
97,0.1226,-0.2200,0.0200,-0.2774,-0.2200,1
98,0.1028,-0.2200,0.0200,-0.2972,-0.2200,1
99,0.0830,-0.2200,0.0200,-0.3170,-0.2200,1
100,0.0631,-0.2200,0.0200,-0.3369,-0.2200,1
101,0.0433,-0.2200,0.0200,-0.3567,-0.2200,1
102,0.0235,-0.2200,0.0200,-0.3765,-0.2200,1
103,0.0037,-0.2200,0.0200,-0.3963,-0.2200,1
104,-0.0161,-0.2200,0.0200,-0.4161,-0.2200,1
105,-0.0359,-0.2200,0.0200,-0.4359,-0.2200,1
106,-0.0557,-0.2200,0.0200,-0.4557,-0.2200,1
107,-0.0756,-0.2200,0.0200,-0.4756,-0.2200,1
108,-0.0954,-0.2200,0.0200,-0.4954,-0.2200,1
109,-0.1152,-0.2200,0.0200,-0.5152,-0.2200,1
110,-0.1350,-0.2200,0.0200,-0.5350,-0.2200,1
111,-0.1350,-0.2067,0.0200,-0.5350,-0.2067,1
112,-0.1350,-0.1933,0.0200,-0.5350,-0.1933,1
113,-0.1350,-0.1800,0.0200,-0.5350,-0.1800,1
114,-0.1152,-0.1800,0.0200,-0.5152,-0.1800,1
115,-0.0954,-0.1800,0.0200,-0.4954,-0.1800,1
116,-0.0756,-0.1800,0.0200,-0.4756,-0.1800,1
117,-0.0557,-0.1800,0.0200,-0.4557,-0.1800,1
118,-0.0359,-0.1800,0.0200,-0.4359,-0.1800,1
119,-0.0161,-0.1800,0.0200,-0.4161,-0.1800,1
120,0.0037,-0.1800,0.0200,-0.3963,-0.1800,1
121,0.0235,-0.1800,0.0200,-0.3765,-0.1800,1
122,0.0433,-0.1800,0.0200,-0.3567,-0.1800,1
123,0.0631,-0.1800,0.0200,-0.3369,-0.1800,1
124,0.0830,-0.1800,0.0200,-0.3170,-0.1800,1
125,0.1028,-0.1800,0.0200,-0.2972,-0.1800,1
126,0.1226,-0.1800,0.0200,-0.2774,-0.1800,1
127,0.1424,-0.1800,0.0200,-0.2576,-0.1800,1
128,0.1622,-0.1800,0.0200,-0.2378,-0.1800,1
129,0.1820,-0.1800,0.0200,-0.2180,-0.1800,1
130,0.2019,-0.1800,0.0200,-0.1981,-0.1800,1
131,0.2217,-0.1800,0.0200,-0.1783,-0.1800,1
132,0.2415,-0.1800,0.0200,-0.1585,-0.1800,1
133,0.2613,-0.1800,0.0200,-0.1387,-0.1800,1
134,0.2811,-0.1800,0.0200,-0.1189,-0.1800,1
135,0.3009,-0.1800,0.0200,-0.0991,-0.1800,1
136,0.3207,-0.1800,0.0200,-0.0793,-0.1800,1
137,0.3406,-0.1800,0.0200,-0.0594,-0.1800,1
138,0.3604,-0.1800,0.0200,-0.0396,-0.1800,1
139,0.3802,-0.1800,0.0200,-0.0198,-0.1800,1
140,0.4000,-0.1800,0.0200,0.0000,-0.1800,1
141,0.4198,-0.1800,0.0200,0.0198,-0.1800,0
142,0.4396,-0.1800,0.0200,0.0396,-0.1800,0
143,0.4594,-0.1800,0.0200,0.0594,-0.1800,0
144,0.4793,-0.1800,0.0200,0.0793,-0.1800,0
145,0.4991,-0.1800,0.0200,0.0991,-0.1800,0
146,0.5189,-0.1800,0.0200,0.1189,-0.1800,0
147,0.5387,-0.1800,0.0200,0.1387,-0.1800,0
148,0.5585,-0.1800,0.0200,0.1585,-0.1800,0
149,0.5783,-0.1800,0.0200,0.1783,-0.1800,0
150,0.5981,-0.1800,0.0200,0.1981,-0.1800,0
151,0.6180,-0.1800,0.0200,0.2180,-0.1800,0
152,0.6378,-0.1800,0.0200,0.2378,-0.1800,0
153,0.6576,-0.1800,0.0200,0.2576,-0.1800,0
154,0.6774,-0.1800,0.0200,0.2774,-0.1800,0
155,0.6972,-0.1800,0.0200,0.2972,-0.1800,0
156,0.7170,-0.1800,0.0200,0.3170,-0.1800,0
157,0.7369,-0.1800,0.0200,0.3369,-0.1800,0
158,0.7567,-0.1800,0.0200,0.3567,-0.1800,0
159,0.7765,-0.1800,0.0200,0.3765,-0.1800,0
160,0.7963,-0.1800,0.0200,0.3963,-0.1800,0
161,0.8161,-0.1800,0.0200,0.4161,-0.1800,0
162,0.8359,-0.1800,0.0200,0.4359,-0.1800,0
163,0.8557,-0.1800,0.0200,0.4557,-0.1800,0
164,0.8756,-0.1800,0.0200,0.4756,-0.1800,0
165,0.8954,-0.1800,0.0200,0.4954,-0.1800,0
166,0.9152,-0.1800,0.0200,0.5152,-0.1800,0
167,0.9350,-0.1800,0.0200,0.5350,-0.1800,0
168,0.9350,-0.1667,0.0200,0.5350,-0.1667,0
169,0.9350,-0.1533,0.0200,0.5350,-0.1533,0
170,0.9350,-0.1400,0.0200,0.5350,-0.1400,0
171,0.9152,-0.1400,0.0200,0.5152,-0.1400,0
172,0.8954,-0.1400,0.0200,0.4954,-0.1400,0
173,0.8756,-0.1400,0.0200,0.4756,-0.1400,0
174,0.8557,-0.1400,0.0200,0.4557,-0.1400,0
175,0.8359,-0.1400,0.0200,0.4359,-0.1400,0
176,0.8161,-0.1400,0.0200,0.4161,-0.1400,0
177,0.7963,-0.1400,0.0200,0.3963,-0.1400,0
178,0.7765,-0.1400,0.0200,0.3765,-0.1400,0
179,0.7567,-0.1400,0.0200,0.3567,-0.1400,0
180,0.7369,-0.1400,0.0200,0.3369,-0.1400,0
181,0.7170,-0.1400,0.0200,0.3170,-0.1400,0
182,0.6972,-0.1400,0.0200,0.2972,-0.1400,0
183,0.6774,-0.1400,0.0200,0.2774,-0.1400,0
184,0.6576,-0.1400,0.0200,0.2576,-0.1400,0
185,0.6378,-0.1400,0.0200,0.2378,-0.1400,0
186,0.6180,-0.1400,0.0200,0.2180,-0.1400,0
187,0.5981,-0.1400,0.0200,0.1981,-0.1400,0
188,0.5783,-0.1400,0.0200,0.1783,-0.1400,0
189,0.5585,-0.1400,0.0200,0.1585,-0.1400,0
190,0.5387,-0.1400,0.0200,0.1387,-0.1400,0
191,0.5189,-0.1400,0.0200,0.1189,-0.1400,0
192,0.4991,-0.1400,0.0200,0.0991,-0.1400,0
193,0.4793,-0.1400,0.0200,0.0793,-0.1400,0
194,0.4594,-0.1400,0.0200,0.0594,-0.1400,0
195,0.4396,-0.1400,0.0200,0.0396,-0.1400,0
196,0.4198,-0.1400,0.0200,0.0198,-0.1400,0
197,0.4000,-0.1400,0.0200,0.0000,-0.1400,1
198,0.3802,-0.1400,0.0200,-0.0198,-0.1400,1
199,0.3604,-0.1400,0.0200,-0.0396,-0.1400,1
200,0.3406,-0.1400,0.0200,-0.0594,-0.1400,1
201,0.3207,-0.1400,0.0200,-0.0793,-0.1400,1
202,0.3009,-0.1400,0.0200,-0.0991,-0.1400,1
203,0.2811,-0.1400,0.0200,-0.1189,-0.1400,1
204,0.2613,-0.1400,0.0200,-0.1387,-0.1400,1
205,0.2415,-0.1400,0.0200,-0.1585,-0.1400,1
206,0.2217,-0.1400,0.0200,-0.1783,-0.1400,1
207,0.2019,-0.1400,0.0200,-0.1981,-0.1400,1
208,0.1820,-0.1400,0.0200,-0.2180,-0.1400,1
209,0.1622,-0.1400,0.0200,-0.2378,-0.1400,1
210,0.1424,-0.1400,0.0200,-0.2576,-0.1400,1
211,0.1226,-0.1400,0.0200,-0.2774,-0.1400,1
212,0.1028,-0.1400,0.0200,-0.2972,-0.1400,1
213,0.0830,-0.1400,0.0200,-0.3170,-0.1400,1
214,0.0631,-0.1400,0.0200,-0.3369,-0.1400,1
215,0.0433,-0.1400,0.0200,-0.3567,-0.1400,1
216,0.0235,-0.1400,0.0200,-0.3765,-0.1400,1
217,0.0037,-0.1400,0.0200,-0.3963,-0.1400,1
218,-0.0161,-0.1400,0.0200,-0.4161,-0.1400,1
219,-0.0359,-0.1400,0.0200,-0.4359,-0.1400,1
220,-0.0557,-0.1400,0.0200,-0.4557,-0.1400,1
221,-0.0756,-0.1400,0.0200,-0.4756,-0.1400,1
222,-0.0954,-0.1400,0.0200,-0.4954,-0.1400,1
