x_m,y_m,reachable,error_code,feasible_yaw_deg,manipulability
0.3200,-0.2400,1,1,30.0,0.01765
0.3400,-0.2400,1,1,30.0,0.01928
0.3600,-0.2400,1,1,30.0,0.02075
0.3800,-0.2400,1,1,30.0,0.02194
0.4000,-0.2400,1,1,30.0,0.02263
0.4200,-0.2400,0,-31,-1.0,0.00000
0.4400,-0.2400,0,-31,-1.0,0.00000
0.4600,-0.2400,0,-31,-1.0,0.00000
0.4800,-0.2400,0,-31,-1.0,0.00000
0.5000,-0.2400,0,-31,-1.0,0.00000
0.5200,-0.2400,0,-31,-1.0,0.00000
-0.0800,-0.2200,1,1,0.0,0.00236
-0.0600,-0.2200,1,1,0.0,0.00203
-0.0400,-0.2200,1,1,0.0,0.00180
-0.0200,-0.2200,1,1,0.0,0.00166
0.0000,-0.2200,1,1,0.0,0.00162
0.0200,-0.2200,1,1,0.0,0.00166
0.0400,-0.2200,1,1,0.0,0.00180
0.0600,-0.2200,1,1,0.0,0.00203
0.0800,-0.2200,1,1,0.0,0.00236
0.1000,-0.2200,1,1,0.0,0.00281
0.1200,-0.2200,1,1,0.0,0.00337
0.1400,-0.2200,1,1,30.0,0.00406
0.1600,-0.2200,1,1,30.0,0.00489
0.1800,-0.2200,1,1,30.0,0.00586
0.2000,-0.2200,1,1,30.0,0.00699
0.2200,-0.2200,1,1,30.0,0.00826
0.2400,-0.2200,1,1,30.0,0.00967
0.2600,-0.2200,1,1,30.0,0.01122
0.2800,-0.2200,1,1,30.0,0.01288
0.3000,-0.2200,1,1,30.0,0.01462
0.3200,-0.2200,1,1,30.0,0.01640
0.3400,-0.2200,1,1,30.0,0.01816
0.3600,-0.2200,1,1,30.0,0.01982
0.3800,-0.2200,1,1,30.0,0.02125
0.4000,-0.2200,1,1,60.0,0.02230
0.4200,-0.2200,0,-31,-1.0,0.00000
0.4400,-0.2200,0,-31,-1.0,0.00000
0.4600,-0.2200,0,-31,-1.0,0.00000
0.4800,-0.2200,0,-31,-1.0,0.00000
0.5000,-0.2200,0,-31,-1.0,0.00000
0.5200,-0.2200,0,-31,-1.0,0.00000
-0.0800,-0.2000,1,1,0.0,0.00140
-0.0600,-0.2000,1,1,0.0,0.00110
-0.0400,-0.2000,1,1,0.0,0.00090
-0.0200,-0.2000,1,1,0.0,0.00078
0.0000,-0.2000,1,1,0.0,0.00074
0.0200,-0.2000,1,1,0.0,0.00078
0.0400,-0.2000,1,1,0.0,0.00090
0.0600,-0.2000,1,1,0.0,0.00110
0.0800,-0.2000,1,1,0.0,0.00140
0.1000,-0.2000,1,1,0.0,0.00180
0.1200,-0.2000,1,1,30.0,0.00231
0.1400,-0.2000,1,1,30.0,0.00296
0.1600,-0.2000,1,1,30.0,0.00374
0.1800,-0.2000,1,1,30.0,0.00467
0.2000,-0.2000,1,1,30.0,0.00575
0.2200,-0.2000,1,1,30.0,0.00699
0.2400,-0.2000,1,1,30.0,0.00838
0.2600,-0.2000,1,1,30.0,0.00992
0.2800,-0.2000,1,1,30.0,0.01159
0.3000,-0.2000,1,1,30.0,0.01336
0.3200,-0.2000,1,1,30.0,0.01520
0.3400,-0.2000,1,1,30.0,0.01706
0.3600,-0.2000,1,1,60.0,0.01885
0.3800,-0.2000,1,1,60.0,0.02048
0.4000,-0.2000,1,1,60.0,0.02180
0.4200,-0.2000,0,-31,-1.0,0.00000
0.4400,-0.2000,0,-31,-1.0,0.00000
0.4600,-0.2000,0,-31,-1.0,0.00000
0.4800,-0.2000,0,-31,-1.0,0.00000
0.5000,-0.2000,0,-31,-1.0,0.00000
0.5200,-0.2000,0,-31,-1.0,0.00000
-0.0800,-0.1800,1,1,0.0,0.00063
-0.0600,-0.1800,1,1,0.0,0.00037
-0.0400,-0.1800,1,1,30.0,0.00020
-0.0200,-0.1800,1,1,0.0,0.00010
0.0000,-0.1800,1,1,30.0,0.00007
0.0200,-0.1800,1,1,0.0,0.00010
0.0400,-0.1800,1,1,0.0,0.00020
0.0600,-0.1800,1,1,0.0,0.00037
