t,F_meas_N,speed_mps,mode,delta_m
1.1900,5.5671,0.1500,CONTACT,0.00591
1.2000,5.4667,0.1500,CONTACT,0.00597
1.2100,5.8531,0.1500,CONTACT,0.00599
1.2200,6.1622,0.1500,CONTACT,0.00597
1.2300,6.2771,0.1500,CONTACT,0.00594
1.2400,6.2221,0.1500,CONTACT,0.00592
1.2500,5.6884,0.1500,CONTACT,0.00595
1.2600,6.0634,0.1500,CONTACT,0.00594
1.2700,5.4392,0.1500,CONTACT,0.00600
1.2800,5.9469,0.1500,CONTACT,0.00601
1.2900,6.2909,0.1500,CONTACT,0.00598
1.3000,5.8966,0.1500,CONTACT,0.00599
1.3100,6.1325,0.1500,CONTACT,0.00598
1.3200,6.0451,0.1500,CONTACT,0.00597
1.3300,5.7291,0.1500,CONTACT,0.00600
1.3400,6.1117,0.1500,CONTACT,0.00599
1.3500,6.1167,0.1500,CONTACT,0.00598
1.3600,6.3551,0.1500,CONTACT,0.00594
1.3700,6.1533,0.1500,CONTACT,0.00592
1.3800,6.2104,0.1500,CONTACT,0.00590
1.3900,5.9991,0.1500,CONTACT,0.00590
1.4000,6.1578,0.1500,CONTACT,0.00588
1.4100,5.7749,0.1500,CONTACT,0.00590
1.4200,6.0322,0.1500,CONTACT,0.00590
1.4300,5.9162,0.1500,CONTACT,0.00591
1.4400,5.7293,0.1500,CONTACT,0.00594
1.4500,6.0230,0.1500,CONTACT,0.00594
1.4600,6.0057,0.1500,CONTACT,0.00594
1.4700,6.1006,0.1500,CONTACT,0.00592
1.4800,5.5729,0.1500,CONTACT,0.00597
1.4900,5.8192,0.1500,CONTACT,0.00599
1.5000,5.9104,0.1500,CONTACT,0.00600
1.5100,5.8770,0.1500,CONTACT,0.00602
1.5200,6.0058,0.1500,CONTACT,0.00601
1.5300,6.0325,0.1500,CONTACT,0.00601
1.5400,5.9618,0.1500,CONTACT,0.00602
1.5500,6.1851,0.1500,CONTACT,0.00599
1.5600,6.0598,0.1500,CONTACT,0.00599
1.5700,6.0186,0.1500,CONTACT,0.00599
