t,F_meas_N,speed_mps,mode,depth_m
28.105,9.946,0.165,CONTACT,0.00984
28.146,9.988,0.166,CONTACT,0.00984
28.189,10.084,0.167,CONTACT,0.00984
28.232,10.181,0.168,CONTACT,0.00983
28.273,10.216,0.170,CONTACT,0.00982
28.316,10.057,0.165,CONTACT,0.00982
28.358,9.915,0.166,CONTACT,0.00982
28.399,9.968,0.166,CONTACT,0.00983
28.440,10.075,0.167,CONTACT,0.00982
28.480,10.205,0.168,CONTACT,0.00982
28.523,10.189,0.168,CONTACT,0.00981
28.565,9.992,0.167,CONTACT,0.00981
28.606,9.847,0.167,CONTACT,0.00981
28.648,9.886,0.167,CONTACT,0.00982
28.690,10.071,0.167,CONTACT,0.00982
28.732,10.215,0.167,CONTACT,0.00981
28.773,10.209,0.167,CONTACT,0.00980
28.813,10.025,0.168,CONTACT,0.00980
28.857,9.846,0.168,CONTACT,0.00981
28.898,9.784,0.167,CONTACT,0.00981
28.940,9.857,0.167,CONTACT,0.00982
28.983,9.946,0.166,CONTACT,0.00982
29.023,9.968,0.165,CONTACT,0.00982
29.067,9.881,0.169,CONTACT,0.00983
29.109,9.815,0.168,CONTACT,0.00983
29.149,9.858,0.167,CONTACT,0.00984
29.192,9.955,0.166,CONTACT,0.00984
29.234,10.028,0.165,CONTACT,0.00984
29.275,10.029,0.164,CONTACT,0.00984
29.318,9.968,0.170,CONTACT,0.00984
29.358,9.890,0.168,CONTACT,0.00984
29.399,9.885,0.167,CONTACT,0.00984
29.440,9.930,0.166,CONTACT,0.00985
29.482,9.971,0.165,CONTACT,0.00985
29.522,9.974,0.164,CONTACT,0.00985
29.563,9.903,0.169,CONTACT,0.00985
29.604,9.842,0.168,CONTACT,0.00986
29.646,9.846,0.167,CONTACT,0.00986
29.689,9.890,0.166,CONTACT,0.00987
29.730,9.903,0.165,CONTACT,0.00987
29.772,9.949,0.164,CONTACT,0.00987
29.813,9.937,0.169,CONTACT,0.00987
29.854,9.891,0.168,CONTACT,0.00988
29.895,9.893,0.167,CONTACT,0.00988
29.938,9.910,0.166,CONTACT,0.00988
29.979,9.938,0.166,CONTACT,0.00989
30.021,9.954,0.165,CONTACT,0.00989
30.063,9.949,0.168,CONTACT,0.00989
30.105,9.936,0.167,CONTACT,0.00989
30.148,9.931,0.167,CONTACT,0.00989
30.189,9.934,0.167,CONTACT,0.00990
30.229,9.942,0.166,CONTACT,0.00990
30.270,9.949,0.166,CONTACT,0.00990
30.310,9.954,0.166,CONTACT,0.00990
30.351,9.960,0.166,CONTACT,0.00990
30.391,9.970,0.167,CONTACT,0.00990
30.434,9.984,0.167,CONTACT,0.00990
30.475,9.995,0.167,CONTACT,0.00990
30.518,10.002,0.167,CONTACT,0.00990
30.560,10.005,0.165,CONTACT,0.00990
30.600,10.010,0.166,CONTACT,0.00990
30.642,10.042,0.166,CONTACT,0.00990
30.683,10.076,0.167,CONTACT,0.00990
30.725,10.096,0.168,CONTACT,0.00990
30.766,10.095,0.169,CONTACT,0.00989
30.807,10.078,0.164,CONTACT,0.00989
30.847,10.075,0.165,CONTACT,0.00989
30.888,10.102,0.166,CONTACT,0.00988
30.929,10.129,0.167,CONTACT,0.00988
30.971,10.147,0.168,CONTACT,0.00987
31.014,10.134,0.169,CONTACT,0.00987
31.055,10.070,0.164,CONTACT,0.00987
31.096,10.031,0.165,CONTACT,0.00987
31.137,10.063,0.166,CONTACT,0.00986
31.177,10.118,0.167,CONTACT,0.00986
31.219,10.144,0.168,CONTACT,0.00986
31.261,10.126,0.170,CONTACT,0.00985
31.303,10.064,0.164,CONTACT,0.00985
31.343,9.993,0.165,CONTACT,0.00985
31.385,10.025,0.166,CONTACT,0.00985
31.427,10.118,0.167,CONTACT,0.00985
31.469,10.147,0.168,CONTACT,0.00984
31.510,10.126,0.169,CONTACT,0.00984
31.551,9.984,0.165,CONTACT,0.00984
31.594,9.913,0.166,CONTACT,0.00984
31.635,9.983,0.167,CONTACT,0.00984
31.676,10.072,0.167,CONTACT,0.00984
31.716,10.169,0.168,CONTACT,0.00983
31.758,10.159,0.168,CONTACT,0.00983
31.801,10.017,0.168,CONTACT,0.00983
31.843,9.926,0.168,CONTACT,0.00983
31.884,9.993,0.167,CONTACT,0.00983
31.926,10.193,0.167,CONTACT,0.00982
31.968,10.352,0.166,CONTACT,0.00981
32.009,10.290,0.165,CONTACT,0.00980
32.051,10.042,0.168,CONTACT,0.00980
32.093,9.845,0.168,CONTACT,0.00980
32.133,9.754,0.167,CONTACT,0.00981
32.174,9.788,0.167,CONTACT,0.00982
32.215,9.852,0.166,CONTACT,0.00982
32.258,9.877,0.165,CONTACT,0.00983
32.300,9.849,0.169,CONTACT,0.00983
32.342,9.808,0.168,CONTACT,0.00984
32.383,9.850,0.167,CONTACT,0.00985
32.425,9.949,0.166,CONTACT,0.00985
32.466,10.008,0.166,CONTACT,0.00985
32.509,10.017,0.165,CONTACT,0.00985
32.551,9.961,0.169,CONTACT,0.00985
32.591,9.906,0.168,CONTACT,0.00985
32.634,9.908,0.167,CONTACT,0.00985
32.676,9.945,0.166,CONTACT,0.00986
32.718,9.978,0.165,CONTACT,0.00986
32.760,9.985,0.164,CONTACT,0.00986
32.801,9.933,0.169,CONTACT,0.00986
32.842,9.893,0.168,CONTACT,0.00986
32.884,9.897,0.167,CONTACT,0.00987
32.926,9.926,0.166,CONTACT,0.00987
32.968,9.951,0.166,CONTACT,0.00987
33.008,9.968,0.165,CONTACT,0.00987
33.050,9.951,0.200,CONTACT,0.00987
33.111,3.360,0.200,APPROACH,0.00887
33.172,1.101,0.200,APPROACH,0.00787
33.234,0.289,0.200,APPROACH,0.00687
33.296,0.076,0.200,APPROACH,0.00587
33.356,0.020,0.200,APPROACH,0.00487
33.417,0.007,0.200,APPROACH,0.00387
33.479,0.002,0.200,APPROACH,0.00287
33.539,0.001,0.200,APPROACH,0.00187
33.599,0.000,0.200,APPROACH,0.00087
33.659,0.000,0.200,APPROACH,0.00000
33.703,0.000,0.200,APPROACH,0.00000
33.746,0.000,0.200,APPROACH,0.00000
33.792,0.000,0.200,APPROACH,0.00000
33.834,0.000,0.200,APPROACH,0.00000
33.878,0.000,0.200,APPROACH,0.00000
33.922,0.000,0.200,APPROACH,0.00000
33.965,0.000,0.200,APPROACH,0.00000
34.011,0.000,0.200,APPROACH,0.00000
34.054,0.000,0.200,APPROACH,0.00000
34.098,0.000,0.200,APPROACH,0.00000
34.141,0.000,0.200,APPROACH,0.00000
34.184,0.000,0.200,APPROACH,0.00000
34.230,0.000,0.200,APPROACH,0.00000
34.272,0.000,0.200,APPROACH,0.00000
34.316,0.000,0.200,APPROACH,0.00000
34.359,0.000,0.200,APPROACH,0.00000
34.403,0.000,0.200,APPROACH,0.00000
34.446,0.000,0.200,APPROACH,0.00000
34.507,0.000,0.200,APPROACH,0.00000
34.567,0.000,0.200,APPROACH,0.00000
34.627,0.000,0.200,APPROACH,0.00000
34.688,0.000,0.200,APPROACH,0.00000
34.749,0.000,0.200,APPROACH,0.00000
34.810,0.000,0.200,APPROACH,0.00000
34.871,0.000,0.200,APPROACH,0.00000
34.983,0.000,0.000,APPROACH,0.00000
35.035,0.000,0.000,APPROACH,0.00040
35.089,0.000,0.000,APPROACH,0.00080
35.140,0.000,0.000,APPROACH,0.00120
35.192,0.000,0.000,APPROACH,0.00160
35.244,0.000,0.000,APPROACH,0.00200
35.297,0.000,0.000,APPROACH,0.00240
35.348,0.000,0.000,APPROACH,0.00280
35.399,0.000,0.000,APPROACH,0.00320
35.451,0.000,0.000,APPROACH,0.00360
35.503,0.000,0.000,APPROACH,0.00400
35.555,0.000,0.000,APPROACH,0.00440
35.607,0.000,0.000,APPROACH,0.00480
35.658,0.000,0.000,APPROACH,0.00520
35.709,0.000,0.000,APPROACH,0.00560
35.760,0.000,0.000,APPROACH,0.00600
35.812,0.000,0.000,APPROACH,0.00640
35.865,0.000,0.000,APPROACH,0.00680
35.916,0.000,0.000,APPROACH,0.00720
35.968,0.000,0.000,APPROACH,0.00760
36.019,0.000,0.000,APPROACH,0.00800
36.070,0.000,0.000,APPROACH,0.00840
36.122,0.000,0.000,APPROACH,0.00880
36.174,0.000,0.000,APPROACH,0.00920
36.226,0.000,0.000,APPROACH,0.00960
36.278,0.000,0.000,APPROACH,0.01000
36.329,0.000,0.000,APPROACH,0.01040
36.379,0.000,0.000,APPROACH,0.01080
36.430,0.000,0.000,APPROACH,0.01120
36.481,0.000,0.000,APPROACH,0.01160
36.532,0.000,0.000,APPROACH,0.01200
36.584,0.000,0.000,APPROACH,0.01240
36.634,0.000,0.000,APPROACH,0.01280
36.686,0.000,0.000,APPROACH,0.01320
36.738,0.000,0.000,APPROACH,0.01360
36.790,0.000,0.000,APPROACH,0.01400
36.841,0.000,0.000,APPROACH,0.01440
36.892,0.000,0.000,APPROACH,0.01480
36.944,0.000,0.000,APPROACH,0.01520
36.996,0.000,0.000,APPROACH,0.01560
37.048,0.000,0.000,APPROACH,0.01600
37.100,0.000,0.000,APPROACH,0.01600
37.151,0.000,0.000,APPROACH,0.01600
37.202,0.000,0.000,APPROACH,0.01600
37.254,0.000,0.000,APPROACH,0.01600
37.306,0.000,0.000,APPROACH,0.01600
37.358,0.000,0.000,APPROACH,0.01600
37.410,0.000,0.000,APPROACH,0.01600
37.461,0.000,0.000,APPROACH,0.01600
37.512,0.000,0.000,APPROACH,0.01600
37.564,0.000,0.000,APPROACH,0.01600
37.616,0.000,0.000,APPROACH,0.01600
37.668,0.000,0.000,APPROACH,0.01600
37.720,0.000,0.000,APPROACH,0.01600
37.771,0.000,0.000,APPROACH,0.01600
37.822,0.000,0.000,APPROACH,0.01600
37.874,0.000,0.000,APPROACH,0.01600
37.925,0.000,0.000,APPROACH,0.01600
37.975,0.000,0.000,APPROACH,0.01600
38.027,0.000,0.000,APPROACH,0.01600
38.028,0.000,0.200,APPROACH,0.01600
38.090,0.000,0.200,APPROACH,0.01600
38.151,6.412,0.165,CONTACT,0.01600
38.192,27.727,0.166,BACKOFF,0.01400
38.233,34.504,0.166,BACKOFF,0.01200
38.275,36.100,0.167,BACKOFF,0.01000
38.318,29.785,0.168,BACKOFF,0.00800
38.359,18.299,0.169,BACKOFF,0.00600
38.402,8.136,0.164,BACKOFF,0.00400
38.444,3.332,0.165,BACKOFF,0.00200
38.485,1.365,0.166,BACKOFF,0.00000
38.528,0.559,0.167,BACKOFF,0.00000
38.568,0.229,0.168,BACKOFF,0.00000
38.610,0.094,0.169,BACKOFF,0.00000
38.652,0.039,0.165,BACKOFF,0.00000
38.693,0.016,0.166,BACKOFF,0.00000
38.739,0.007,0.166,BACKOFF,0.00000
38.781,0.003,0.167,BACKOFF,0.00000
38.822,0.001,0.168,BACKOFF,0.00000
38.863,0.001,0.169,APPROACH,0.00033
38.903,0.000,0.165,APPROACH,0.00067
38.944,0.000,0.166,APPROACH,0.00100
38.985,0.000,0.167,APPROACH,0.00133
39.029,0.000,0.167,APPROACH,0.00167
39.069,0.000,0.168,APPROACH,0.00200
39.110,0.000,0.168,APPROACH,0.00233
39.151,0.000,0.170,APPROACH,0.00267
39.193,0.000,0.169,APPROACH,0.00300
39.234,0.000,0.168,APPROACH,0.00333
39.274,0.000,0.166,APPROACH,0.00367
39.317,0.000,0.165,APPROACH,0.00400
39.359,0.000,0.163,APPROACH,0.00433
39.400,0.000,0.168,APPROACH,0.00467
39.442,0.000,0.167,APPROACH,0.00500
39.483,0.000,0.167,APPROACH,0.00533
39.524,0.000,0.167,APPROACH,0.00567
39.564,0.000,0.166,APPROACH,0.00600
39.608,0.000,0.166,APPROACH,0.00633
39.650,0.000,0.168,APPROACH,0.00667
39.691,0.000,0.168,APPROACH,0.00700
39.733,0.000,0.167,APPROACH,0.00733
39.774,0.000,0.166,APPROACH,0.00767
39.819,0.000,0.166,APPROACH,0.00800
39.862,0.000,0.165,APPROACH,0.00833
39.903,1.035,0.169,APPROACH,0.00863
39.944,2.134,0.168,CONTACT,0.00889
39.986,2.578,0.167,CONTACT,0.00914
40.028,2.754,0.166,CONTACT,0.00938
40.069,3.318,0.166,CONTACT,0.00961
40.111,4.776,0.165,CONTACT,0.00978
40.152,6.425,0.200,APPROACH,0.00878
40.234,1.338,0.200,APPROACH,0.00778
40.315,0.281,0.200,APPROACH,0.00678
40.397,0.047,0.200,APPROACH,0.00578
40.477,0.010,0.200,APPROACH,0.00478
40.558,0.002,0.200,APPROACH,0.00378
40.638,0.000,0.200,APPROACH,0.00278
40.718,0.000,0.200,APPROACH,0.00178
40.798,0.000,0.200,APPROACH,0.00078
40.878,0.000,0.200,APPROACH,0.00000
40.958,0.000,0.200,APPROACH,0.00000
41.022,0.000,0.200,APPROACH,0.00000
41.086,0.000,0.200,APPROACH,0.00000
41.150,0.000,0.200,APPROACH,0.00000
41.214,0.000,0.200,APPROACH,0.00000
41.277,0.000,0.200,APPROACH,0.00000
41.341,0.000,0.200,APPROACH,0.00000
41.405,0.000,0.200,APPROACH,0.00000
41.468,0.000,0.200,APPROACH,0.00000
41.531,0.000,0.200,APPROACH,0.00000
41.595,0.000,0.200,APPROACH,0.00000
41.658,0.000,0.200,APPROACH,0.00000
41.720,0.000,0.200,APPROACH,0.00000
41.785,0.000,0.200,APPROACH,0.00000
41.847,0.000,0.200,APPROACH,0.00000
41.911,0.000,0.200,APPROACH,0.00000
41.975,0.000,0.200,APPROACH,0.00000
42.037,0.000,0.200,APPROACH,0.00000
42.102,0.000,0.200,APPROACH,0.00000
42.182,0.000,0.200,APPROACH,0.00000
42.262,0.000,0.200,APPROACH,0.00000
42.342,0.000,0.200,APPROACH,0.00000
42.423,0.000,0.200,APPROACH,0.00000
42.503,0.000,0.200,APPROACH,0.00000
42.584,0.000,0.200,APPROACH,0.00000
42.664,0.000,0.200,APPROACH,0.00000
42.745,0.000,0.200,APPROACH,0.00000
42.881,0.000,0.000,APPROACH,0.00000
42.931,0.000,0.000,APPROACH,0.00040
42.983,0.000,0.000,APPROACH,0.00080
43.035,0.000,0.000,APPROACH,0.00120
43.086,0.000,0.000,APPROACH,0.00160
43.137,0.000,0.000,APPROACH,0.00200
43.189,0.000,0.000,APPROACH,0.00240
43.241,0.000,0.000,APPROACH,0.00280
43.293,0.000,0.000,APPROACH,0.00320
43.345,0.000,0.000,APPROACH,0.00360
43.396,0.000,0.000,APPROACH,0.00400
43.447,0.000,0.000,APPROACH,0.00440
43.499,0.000,0.000,APPROACH,0.00480
43.551,0.000,0.000,APPROACH,0.00520
43.603,0.000,0.000,APPROACH,0.00560
43.656,0.000,0.000,APPROACH,0.00600
43.706,0.000,0.000,APPROACH,0.00640
43.757,0.000,0.000,APPROACH,0.00680
43.807,0.000,0.000,APPROACH,0.00720
43.858,0.000,0.000,APPROACH,0.00760
43.910,0.000,0.000,APPROACH,0.00800
43.962,0.999,0.000,APPROACH,0.00840
44.014,2.232,0.000,APPROACH,0.00880
44.014,2.232,0.200,CONTACT,0.00906
44.097,2.733,0.165,CONTACT,0.00930
44.138,3.318,0.166,CONTACT,0.00952
44.179,4.642,0.166,CONTACT,0.00970
44.221,6.173,0.167,CONTACT,0.00983
44.262,7.587,0.168,CONTACT,0.00991
44.304,8.474,0.169,CONTACT,0.00996
44.346,9.183,0.165,CONTACT,0.00999
44.387,10.092,0.166,CONTACT,0.00999
44.428,10.565,0.166,CONTACT,0.00997
44.471,10.809,0.167,CONTACT,0.00994
44.514,10.856,0.168,CONTACT,0.00991
44.555,10.787,0.168,CONTACT,0.00988
44.597,10.576,0.166,CONTACT,0.00987
44.639,10.355,0.166,CONTACT,0.00985
44.680,10.232,0.167,CONTACT,0.00985
44.720,10.173,0.167,CONTACT,0.00984
44.761,10.141,0.167,CONTACT,0.00984
44.803,10.074,0.168,CONTACT,0.00983
44.846,9.947,0.200,CONTACT,0.00984
44.887,4.408,0.200,APPROACH,0.00884
44.928,1.806,0.200,APPROACH,0.00784
44.969,1.156,0.200,APPROACH,0.00684
45.011,0.379,0.200,APPROACH,0.00584
45.052,0.155,0.199,APPROACH,0.00484
45.093,0.064,0.199,APPROACH,0.00384
45.134,0.026,0.199,APPROACH,0.00284
45.177,0.011,0.199,APPROACH,0.00184
45.217,0.004,0.199,APPROACH,0.00084
45.259,0.002,0.199,APPROACH,0.00000
45.301,0.001,0.199,APPROACH,0.00000
45.342,0.000,0.199,APPROACH,0.00000
45.383,0.000,0.199,APPROACH,0.00000
45.425,0.000,0.199,APPROACH,0.00000
45.465,0.000,0.200,APPROACH,0.00000
45.507,0.000,0.186,APPROACH,0.00000
45.549,0.001,0.172,APPROACH,0.00000
45.590,0.002,0.157,APPROACH,0.00000
45.632,0.005,0.142,APPROACH,0.00000
45.674,0.010,0.127,APPROACH,0.00000
45.715,0.016,0.112,APPROACH,0.00000
45.756,0.023,0.097,APPROACH,0.00000
45.798,0.031,0.083,APPROACH,0.00000
45.840,0.041,0.070,APPROACH,0.00000
45.883,0.051,0.059,APPROACH,0.00000
45.924,0.063,0.052,APPROACH,0.00000
45.964,0.073,0.051,APPROACH,0.00000
46.007,0.082,0.055,APPROACH,0.00000
46.048,0.090,0.064,APPROACH,0.00000
46.091,0.097,0.075,APPROACH,0.00000
46.131,0.105,0.088,APPROACH,0.00000
46.173,0.112,0.102,APPROACH,0.00000
46.214,0.122,0.116,APPROACH,0.00000
46.255,0.128,0.130,APPROACH,0.00000
46.295,0.134,0.144,APPROACH,0.00000
46.337,0.140,0.158,APPROACH,0.00000
46.379,0.146,0.171,APPROACH,0.00000
46.421,0.152,0.183,APPROACH,0.00000
46.465,0.158,0.195,APPROACH,0.00000
46.505,0.167,0.200,APPROACH,0.00000
46.547,0.170,0.200,APPROACH,0.00000
46.592,0.174,0.200,APPROACH,0.00000
46.638,0.176,0.200,APPROACH,0.00000
46.686,0.155,0.200,APPROACH,0.00000
46.736,0.124,0.200,APPROACH,0.00000
46.782,0.100,0.200,APPROACH,0.00000
46.827,0.077,0.200,APPROACH,0.00000
46.871,0.057,0.200,APPROACH,0.00000
46.915,0.040,0.200,APPROACH,0.00000
46.959,0.034,0.200,APPROACH,0.00000
47.003,0.036,0.200,APPROACH,0.00000
47.046,0.040,0.200,APPROACH,0.00000
47.089,0.043,0.200,APPROACH,0.00000
47.131,0.049,0.200,APPROACH,0.00000
47.174,0.055,0.200,APPROACH,0.00000
47.216,0.060,0.200,APPROACH,0.00000
47.258,0.066,0.200,APPROACH,0.00000
47.300,0.068,0.200,APPROACH,0.00000
47.393,0.064,0.000,APPROACH,0.00000
47.444,0.063,0.000,APPROACH,0.00040
47.496,0.063,0.000,APPROACH,0.00080
47.547,0.063,0.000,APPROACH,0.00120
47.600,0.063,0.000,APPROACH,0.00160
47.651,0.063,0.000,APPROACH,0.00200
47.703,0.063,0.000,APPROACH,0.00240
47.755,0.063,0.000,APPROACH,0.00280
47.806,0.063,0.000,APPROACH,0.00320
47.857,0.063,0.000,APPROACH,0.00360
47.908,0.063,0.000,APPROACH,0.00400
47.960,0.063,0.000,APPROACH,0.00440
48.012,0.063,0.000,APPROACH,0.00480
48.063,0.063,0.000,APPROACH,0.00520
48.115,0.063,0.000,APPROACH,0.00560
48.167,0.063,0.000,APPROACH,0.00600
48.218,0.063,0.000,APPROACH,0.00640
48.269,0.063,0.000,APPROACH,0.00680
48.321,0.063,0.000,APPROACH,0.00720
48.373,0.063,0.000,APPROACH,0.00760
48.425,0.063,0.000,APPROACH,0.00800
48.478,0.063,0.000,APPROACH,0.00840
48.528,0.063,0.000,APPROACH,0.00880
48.579,0.063,0.000,APPROACH,0.00920
48.631,0.063,0.000,APPROACH,0.00960
48.683,0.063,0.000,APPROACH,0.01000
48.735,0.063,0.000,APPROACH,0.01040
48.787,0.063,0.000,APPROACH,0.01080
48.838,0.063,0.000,APPROACH,0.01120
48.889,0.063,0.000,APPROACH,0.01160
48.941,0.063,0.000,APPROACH,0.01200
48.993,0.063,0.000,APPROACH,0.01240
49.045,0.063,0.000,APPROACH,0.01280
49.097,0.063,0.000,APPROACH,0.01320
49.148,0.063,0.000,APPROACH,0.01360
49.199,0.063,0.000,APPROACH,0.01400
49.250,0.082,0.000,APPROACH,0.01440
49.300,0.104,0.000,APPROACH,0.01480
49.352,0.112,0.000,APPROACH,0.01520
49.404,0.801,0.000,APPROACH,0.01560
49.456,3.020,0.000,APPROACH,0.01600
49.456,3.020,0.150,CONTACT,0.01600
49.510,5.546,0.000,CONTACT,0.01600
49.563,6.681,0.150,CONTACT,0.01598
49.615,7.841,0.150,CONTACT,0.01592
49.667,9.025,0.150,CONTACT,0.01582
49.719,9.395,0.150,CONTACT,0.01570
49.769,8.479,0.150,CONTACT,0.01562
49.821,7.518,0.150,CONTACT,0.01557
49.874,7.422,0.150,CONTACT,0.01552
49.925,7.158,0.150,CONTACT,0.01548
49.975,6.019,0.150,CONTACT,0.01548
50.027,5.595,0.150,CONTACT,0.01550
50.078,6.016,0.150,CONTACT,0.01550
50.128,6.243,0.150,CONTACT,0.01549
50.178,5.516,0.150,CONTACT,0.01550
50.230,5.300,0.150,CONTACT,0.01553
50.281,5.763,0.150,CONTACT,0.01553
50.331,6.275,0.150,CONTACT,0.01553
50.382,5.652,0.200,APPROACH,0.01453
50.424,2.360,0.200,APPROACH,0.01353
50.468,1.229,0.200,APPROACH,0.01253
50.512,0.519,0.200,APPROACH,0.01153
50.556,0.215,0.200,APPROACH,0.01053
50.602,0.079,0.200,APPROACH,0.00953
50.647,0.045,0.200,APPROACH,0.00853
50.692,0.042,0.200,APPROACH,0.00753
50.739,0.048,0.200,APPROACH,0.00653
50.786,0.061,0.200,APPROACH,0.00553
50.833,0.075,0.200,APPROACH,0.00453
50.880,0.087,0.200,APPROACH,0.00353
50.928,0.100,0.170,APPROACH,0.00253
50.970,0.099,0.170,APPROACH,0.00153
51.012,0.092,0.170,APPROACH,0.00053
51.053,0.084,0.170,APPROACH,0.00000
51.094,0.074,0.170,APPROACH,0.00000
51.136,0.061,0.170,APPROACH,0.00000
51.178,0.047,0.170,APPROACH,0.00000
51.220,0.034,0.170,APPROACH,0.00000
51.262,0.020,0.171,APPROACH,0.00000
51.302,0.012,0.171,APPROACH,0.00000
51.343,0.005,0.171,APPROACH,0.00000
51.385,0.002,0.171,APPROACH,0.00000
51.427,0.001,0.171,APPROACH,0.00000
51.469,0.001,0.171,APPROACH,0.00000
51.511,0.001,0.171,APPROACH,0.00000
51.553,0.001,0.171,APPROACH,0.00000
51.594,0.001,0.171,APPROACH,0.00000
51.635,0.001,0.172,APPROACH,0.00000
51.677,0.001,0.172,APPROACH,0.00000
51.719,0.001,0.172,APPROACH,0.00000
51.761,0.001,0.200,APPROACH,0.00000
51.809,0.004,0.200,APPROACH,0.00000
51.857,0.012,0.200,APPROACH,0.00000
51.904,0.022,0.200,APPROACH,0.00000
51.950,0.031,0.200,APPROACH,0.00000
51.996,0.043,0.200,APPROACH,0.00000
52.042,0.053,0.200,APPROACH,0.00000
52.088,0.066,0.200,APPROACH,0.00000
52.134,0.076,0.200,APPROACH,0.00000
52.178,0.085,0.200,APPROACH,0.00000
52.223,0.088,0.200,APPROACH,0.00000
52.317,0.095,0.000,APPROACH,0.00000
52.368,0.104,0.000,APPROACH,0.00040
52.422,0.110,0.000,APPROACH,0.00080
52.473,0.113,0.000,APPROACH,0.00120
52.524,0.114,0.000,APPROACH,0.00160
52.575,0.115,0.000,APPROACH,0.00200
52.626,0.116,0.000,APPROACH,0.00240
52.676,0.117,0.000,APPROACH,0.00280
52.727,0.117,0.000,APPROACH,0.00320
52.779,0.117,0.000,APPROACH,0.00360
52.831,0.117,0.000,APPROACH,0.00400
52.883,0.117,0.000,APPROACH,0.00440
52.933,0.117,0.000,APPROACH,0.00480
52.985,0.117,0.000,APPROACH,0.00520
53.036,0.117,0.000,APPROACH,0.00560
53.087,0.117,0.000,APPROACH,0.00600
53.137,0.117,0.000,APPROACH,0.00640
53.188,0.117,0.000,APPROACH,0.00680
53.238,0.117,0.000,APPROACH,0.00720
53.289,0.117,0.000,APPROACH,0.00760
53.341,0.117,0.000,APPROACH,0.00800
53.393,0.117,0.000,APPROACH,0.00840
53.445,0.117,0.000,APPROACH,0.00880
53.498,0.117,0.000,APPROACH,0.00920
53.548,0.117,0.000,APPROACH,0.00960
53.599,0.117,0.000,APPROACH,0.01000
53.651,0.117,0.000,APPROACH,0.01040
53.703,0.117,0.000,APPROACH,0.01080
53.755,0.117,0.000,APPROACH,0.01120
53.807,0.117,0.000,APPROACH,0.01160
53.858,0.117,0.000,APPROACH,0.01200
53.909,0.117,0.000,APPROACH,0.01240
53.960,0.117,0.000,APPROACH,0.01280
54.012,0.117,0.000,APPROACH,0.01320
54.064,0.117,0.000,APPROACH,0.01360
54.116,0.117,0.000,APPROACH,0.01400
54.167,0.129,0.000,APPROACH,0.01440
54.218,0.161,0.000,APPROACH,0.01480
54.269,0.172,0.000,APPROACH,0.01520
54.320,0.868,0.000,APPROACH,0.01560
54.372,3.050,0.000,APPROACH,0.01600
54.373,3.050,0.150,CONTACT,0.01600
54.430,5.392,0.150,CONTACT,0.01600
54.480,6.803,0.150,CONTACT,0.01597
54.531,8.432,0.150,CONTACT,0.01589
54.582,9.218,0.150,CONTACT,0.01578
54.633,8.353,0.150,CONTACT,0.01571
54.683,7.700,0.150,CONTACT,0.01565
54.734,7.700,0.150,CONTACT,0.01559
54.785,7.654,0.150,CONTACT,0.01554
54.838,6.606,0.150,CONTACT,0.01552
54.888,5.980,0.150,CONTACT,0.01552
54.939,6.240,0.150,CONTACT,0.01551
54.991,6.591,0.150,CONTACT,0.01549
55.043,5.958,0.150,CONTACT,0.01549
55.093,5.670,0.150,CONTACT,0.01550
55.145,6.091,0.150,CONTACT,0.01550
55.198,6.569,0.150,CONTACT,0.01548
55.249,6.063,0.150,CONTACT,0.01548
55.301,5.328,0.150,CONTACT,0.01550
55.353,5.385,0.150,CONTACT,0.01552
55.403,5.603,0.150,CONTACT,0.01554
55.456,5.456,0.150,CONTACT,0.01555
55.508,5.551,0.150,CONTACT,0.01557
55.560,6.423,0.150,CONTACT,0.01555
55.611,6.875,0.150,CONTACT,0.01553
55.660,6.362,0.150,CONTACT,0.01551
55.712,6.040,0.150,CONTACT,0.01551
55.765,6.422,0.150,CONTACT,0.01550
55.815,6.619,0.150,CONTACT,0.01548
55.865,6.013,0.150,CONTACT,0.01548
55.917,5.599,0.150,CONTACT,0.01549
55.970,5.986,0.150,CONTACT,0.01549
56.021,6.252,0.150,CONTACT,0.01548
56.072,5.809,0.150,CONTACT,0.01549
56.125,5.525,0.150,CONTACT,0.01550
56.175,5.914,0.150,CONTACT,0.01551
56.227,6.156,0.150,CONTACT,0.01550
56.277,5.725,0.200,APPROACH,0.01450
56.321,2.420,0.200,APPROACH,0.01350
56.365,1.047,0.200,APPROACH,0.01250
56.409,0.399,0.200,APPROACH,0.01150
56.453,0.281,0.200,APPROACH,0.01050
56.498,0.151,0.200,APPROACH,0.00950
56.544,0.077,0.200,APPROACH,0.00850
56.591,0.041,0.200,APPROACH,0.00750
56.637,0.020,0.200,APPROACH,0.00650
56.684,0.020,0.200,APPROACH,0.00550
56.732,0.029,0.200,APPROACH,0.00450
56.779,0.041,0.200,APPROACH,0.00350
56.827,0.053,0.171,APPROACH,0.00250
56.869,0.061,0.171,APPROACH,0.00150
56.911,0.066,0.170,APPROACH,0.00050
56.954,0.069,0.170,APPROACH,0.00000
56.994,0.062,0.170,APPROACH,0.00000
57.037,0.054,0.170,APPROACH,0.00000
57.079,0.043,0.170,APPROACH,0.00000
57.121,0.031,0.170,APPROACH,0.00000
57.163,0.018,0.170,APPROACH,0.00000
57.205,0.010,0.170,APPROACH,0.00000
57.246,0.005,0.169,APPROACH,0.00000
57.287,0.003,0.169,APPROACH,0.00000
