t,F_meas_N,speed_mps,mode,depth_m
7.693,0.000,0.200,APPROACH,0.00000
7.777,0.000,0.200,APPROACH,0.00000
7.861,0.000,0.200,APPROACH,0.00000
7.946,0.000,0.200,APPROACH,0.00000
8.030,0.000,0.200,APPROACH,0.00000
8.116,0.000,0.200,APPROACH,0.00000
8.200,0.000,0.200,APPROACH,0.00000
8.284,0.000,0.200,APPROACH,0.00000
8.368,0.000,0.200,APPROACH,0.00000
8.452,0.000,0.200,APPROACH,0.00000
8.537,0.000,0.188,APPROACH,0.00000
8.579,0.000,0.190,APPROACH,0.00000
8.620,0.001,0.191,APPROACH,0.00000
8.662,0.001,0.192,APPROACH,0.00000
8.705,0.001,0.193,APPROACH,0.00000
8.747,0.000,0.194,APPROACH,0.00000
8.788,0.000,0.196,APPROACH,0.00000
8.830,0.000,0.197,APPROACH,0.00000
8.921,0.000,0.000,APPROACH,0.00000
8.972,0.000,0.000,APPROACH,0.00040
9.023,0.000,0.000,APPROACH,0.00080
9.075,0.000,0.000,APPROACH,0.00120
9.127,0.000,0.000,APPROACH,0.00160
9.177,0.000,0.000,APPROACH,0.00200
9.229,0.000,0.000,APPROACH,0.00240
9.281,0.000,0.000,APPROACH,0.00280
9.332,0.000,0.000,APPROACH,0.00320
9.382,0.000,0.000,APPROACH,0.00360
9.433,0.000,0.000,APPROACH,0.00400
9.485,0.000,0.000,APPROACH,0.00440
9.537,0.000,0.000,APPROACH,0.00480
9.589,0.000,0.000,APPROACH,0.00520
9.641,0.000,0.000,APPROACH,0.00560
9.692,0.000,0.000,APPROACH,0.00600
9.743,0.000,0.000,APPROACH,0.00640
9.795,0.000,0.000,APPROACH,0.00680
9.847,0.000,0.000,APPROACH,0.00720
9.898,0.000,0.000,APPROACH,0.00760
9.950,0.000,0.000,APPROACH,0.00800
10.002,0.000,0.000,APPROACH,0.00840
10.053,0.000,0.000,APPROACH,0.00880
10.104,0.000,0.000,APPROACH,0.00920
10.154,0.000,0.000,APPROACH,0.00960
10.205,0.000,0.000,APPROACH,0.01000
10.255,0.000,0.000,APPROACH,0.01040
10.307,0.000,0.000,APPROACH,0.01080
10.359,0.000,0.000,APPROACH,0.01120
10.409,0.000,0.000,APPROACH,0.01160
10.461,0.000,0.000,APPROACH,0.01200
10.513,0.000,0.000,APPROACH,0.01240
10.564,0.000,0.000,APPROACH,0.01280
10.615,0.000,0.000,APPROACH,0.01320
10.667,0.000,0.000,APPROACH,0.01360
10.719,0.000,0.000,APPROACH,0.01400
10.771,0.000,0.000,APPROACH,0.01440
10.823,0.000,0.000,APPROACH,0.01480
10.874,0.000,0.000,APPROACH,0.01520
10.925,0.000,0.000,APPROACH,0.01560
10.977,0.000,0.000,APPROACH,0.01600
11.029,0.000,0.000,APPROACH,0.01600
11.081,0.000,0.000,APPROACH,0.01600
11.132,0.658,0.000,APPROACH,0.01600
11.184,0.868,0.000,APPROACH,0.01600
11.235,0.943,0.000,APPROACH,0.01600
11.286,0.961,0.000,APPROACH,0.01600
11.338,0.967,0.000,APPROACH,0.01600
11.390,0.969,0.000,APPROACH,0.01600
11.442,0.970,0.000,APPROACH,0.01600
11.494,0.970,0.000,APPROACH,0.01600
11.545,0.970,0.000,APPROACH,0.01600
11.596,0.970,0.000,APPROACH,0.01600
11.648,0.970,0.000,APPROACH,0.01600
11.700,0.970,0.000,APPROACH,0.01600
11.752,0.970,0.000,APPROACH,0.01600
11.804,0.970,0.000,APPROACH,0.01600
11.855,0.970,0.000,APPROACH,0.01600
11.906,0.970,0.000,APPROACH,0.01600
11.958,0.970,0.000,APPROACH,0.01600
11.958,0.970,0.198,APPROACH,0.01600
12.001,0.970,0.199,APPROACH,0.01600
12.043,10.293,0.166,CONTACT,0.01599
12.083,29.079,0.166,BACKOFF,0.01399
12.125,38.082,0.167,BACKOFF,0.01199
12.167,41.495,0.167,BACKOFF,0.00999
12.207,38.164,0.167,BACKOFF,0.00799
12.249,26.087,0.168,BACKOFF,0.00599
12.292,11.809,0.168,BACKOFF,0.00399
12.334,6.047,0.167,BACKOFF,0.00199
12.375,2.477,0.167,BACKOFF,0.00000
12.417,1.015,0.167,BACKOFF,0.00000
12.458,0.333,0.166,BACKOFF,0.00000
12.499,0.137,0.166,BACKOFF,0.00000
12.540,0.070,0.169,BACKOFF,0.00000
12.582,0.029,0.168,BACKOFF,0.00000
12.624,0.012,0.167,BACKOFF,0.00000
12.667,0.005,0.166,BACKOFF,0.00000
12.709,0.002,0.166,BACKOFF,0.00000
12.754,0.001,0.165,APPROACH,0.00033
12.795,0.001,0.166,APPROACH,0.00067
12.837,0.000,0.166,APPROACH,0.00100
12.880,0.000,0.167,APPROACH,0.00133
12.921,0.000,0.167,APPROACH,0.00167
12.966,0.000,0.167,APPROACH,0.00200
13.007,0.000,0.168,APPROACH,0.00233
13.050,0.000,0.165,APPROACH,0.00267
13.092,0.000,0.166,APPROACH,0.00300
13.133,0.000,0.166,APPROACH,0.00333
13.173,0.000,0.167,APPROACH,0.00367
13.216,0.000,0.168,APPROACH,0.00400
13.258,0.000,0.168,APPROACH,0.00433
13.300,0.000,0.167,APPROACH,0.00467
13.342,0.000,0.167,APPROACH,0.00500
13.383,0.000,0.167,APPROACH,0.00533
13.425,0.000,0.167,APPROACH,0.00567
13.466,0.000,0.167,APPROACH,0.00600
13.506,0.000,0.167,APPROACH,0.00633
13.547,0.000,0.169,APPROACH,0.00667
13.587,0.000,0.168,APPROACH,0.00700
13.630,0.000,0.167,APPROACH,0.00733
13.672,0.000,0.167,APPROACH,0.00767
13.714,0.527,0.166,APPROACH,0.00798
13.757,0.847,0.165,APPROACH,0.00829
13.797,0.956,0.174,APPROACH,0.00859
13.841,0.986,0.172,APPROACH,0.00889
