t,F_meas_N,speed_mps,mode,delta_m
1.1900,9.6663,0.2000,CONTACT,0.00993
1.2000,10.1144,0.2000,CONTACT,0.00991
1.2100,9.7130,0.2000,CONTACT,0.00994
1.2200,10.0399,0.2000,CONTACT,0.00994
1.2300,9.7689,0.2000,CONTACT,0.00997
1.2400,10.1195,0.2000,CONTACT,0.00995
1.2500,10.0236,0.2000,CONTACT,0.00995
1.2600,9.9400,0.2000,CONTACT,0.00996
1.2700,9.5636,0.2000,CONTACT,0.01001
1.2800,9.7992,0.2000,CONTACT,0.01003
1.2900,9.8725,0.2000,CONTACT,0.01004
1.3000,10.0383,0.2000,CONTACT,0.01004
1.3100,10.2225,0.2000,CONTACT,0.01001
1.3200,10.1460,0.2000,CONTACT,0.01000
1.3300,9.9424,0.2000,CONTACT,0.01000
1.3400,10.1699,0.2000,CONTACT,0.00998
1.3500,10.2025,0.2000,CONTACT,0.00996
1.3600,10.0708,0.2000,CONTACT,0.00995
1.3700,9.8616,0.2000,CONTACT,0.00997
1.3800,9.9509,0.2000,CONTACT,0.00997
1.3900,9.7677,0.2000,CONTACT,0.01000
1.4000,10.1511,0.2000,CONTACT,0.00998
1.4100,10.2155,0.2000,CONTACT,0.00996
1.4200,9.9239,0.2000,CONTACT,0.00997
1.4300,10.3322,0.2000,CONTACT,0.00993
1.4400,10.0935,0.2000,CONTACT,0.00992
1.4500,9.8819,0.2000,CONTACT,0.00993
1.4600,9.8549,0.2000,CONTACT,0.00995
1.4700,10.2082,0.2000,CONTACT,0.00993
1.4800,9.7322,0.2000,CONTACT,0.00996
1.4900,9.8750,0.2000,CONTACT,0.00997
1.5000,10.0517,0.2000,CONTACT,0.00996
1.5100,10.0926,0.2000,CONTACT,0.00995
1.5200,10.1051,0.2000,CONTACT,0.00994
1.5300,10.3467,0.2000,CONTACT,0.00990
1.5400,10.2030,0.2000,CONTACT,0.00988
1.5500,9.7636,0.2000,CONTACT,0.00991
1.5600,9.6636,0.2000,CONTACT,0.00995
1.5700,10.3555,0.2000,CONTACT,0.00991
1.5800,9.8088,0.2000,CONTACT,0.00993
1.5900,9.4338,0.2000,CONTACT,0.00999
1.6000,9.6619,0.2000,CONTACT,0.01003
1.6100,10.3954,0.2000,CONTACT,0.00998
1.6200,10.1614,0.2000,CONTACT,0.00997
1.6300,9.7212,0.2000,CONTACT,0.01000
1.6400,10.0597,0.2000,CONTACT,0.00999
1.6500,10.0863,0.2000,CONTACT,0.00998
1.6600,10.1227,0.2000,CONTACT,0.00997
1.6700,10.1047,0.2000,CONTACT,0.00996
1.6800,9.9675,0.2000,CONTACT,0.00996
1.6900,10.2175,0.2000,CONTACT,0.00993
1.7000,10.0790,0.2000,CONTACT,0.00993
1.7100,9.8611,0.2000,CONTACT,0.00994
1.7200,9.5473,0.2000,CONTACT,0.00999
1.7300,9.8176,0.2000,CONTACT,0.01001
1.7400,10.0884,0.2000,CONTACT,0.01000
1.7500,9.9454,0.2000,CONTACT,0.01001
1.7600,10.1268,0.2000,CONTACT,0.00999
1.7700,9.7085,0.2000,CONTACT,0.01003
1.7800,9.9710,0.2000,CONTACT,0.01003
1.7900,9.9231,0.2000,CONTACT,0.01004
1.8000,10.0109,0.2000,CONTACT,0.01004
1.8100,9.9438,0.2000,CONTACT,0.01004
1.8200,9.8681,0.2000,CONTACT,0.01006
1.8300,10.1563,0.2000,CONTACT,0.01004
1.8400,10.1808,0.2000,CONTACT,0.01002
1.8500,10.0639,0.2000,CONTACT,0.01001
1.8600,9.6062,0.2000,CONTACT,0.01006
1.8700,10.0324,0.2000,CONTACT,0.01005
1.8800,10.2343,0.2000,CONTACT,0.01003
1.8900,9.9543,0.2000,CONTACT,0.01003
1.9000,10.0281,0.2000,CONTACT,0.01003
1.9100,9.9338,0.2000,CONTACT,0.01004
1.9200,10.5463,0.2000,CONTACT,0.00998
1.9300,10.0419,0.2000,CONTACT,0.00997
1.9400,9.9171,0.2000,CONTACT,0.00998
1.9500,9.8534,0.2000,CONTACT,0.01000
1.9600,10.0544,0.2000,CONTACT,0.00999
1.9700,10.2891,0.2000,CONTACT,0.00996
1.9800,10.1822,0.2000,CONTACT,0.00994
1.9900,10.4143,0.2000,CONTACT,0.00989
2.0000,9.9119,0.2000,CONTACT,0.00990
2.0100,9.9311,0.2000,CONTACT,0.00991
2.0200,9.8497,0.2000,CONTACT,0.00993
2.0300,10.0262,0.2000,CONTACT,0.00992
2.0400,9.9036,0.2000,CONTACT,0.00993
2.0500,9.8998,0.2000,CONTACT,0.00995
2.0600,10.2027,0.2000,CONTACT,0.00992
2.0700,9.7838,0.2000,CONTACT,0.00995
2.0800,9.9644,0.2000,CONTACT,0.00995
2.0900,9.8706,0.2000,CONTACT,0.00997
2.1000,9.7086,0.2000,CONTACT,0.01000
2.1100,10.1214,0.2000,CONTACT,0.00998
2.1200,9.9219,0.2000,CONTACT,0.00999
2.1300,9.8167,0.2000,CONTACT,0.01001
2.1400,10.0337,0.2000,CONTACT,0.01001
2.1500,9.9656,0.2000,CONTACT,0.01001
2.1600,9.8196,0.2000,CONTACT,0.01003
2.1700,10.2205,0.2000,CONTACT,0.01001
2.1800,9.9290,0.2000,CONTACT,0.01002
2.1900,9.9323,0.2000,CONTACT,0.01002
2.2000,10.1739,0.2000,CONTACT,0.01001
2.2100,10.2870,0.2000,CONTACT,0.00997
2.2200,10.0551,0.2000,CONTACT,0.00997
2.2300,10.2260,0.2000,CONTACT,0.00994
2.2400,9.7864,0.2000,CONTACT,0.00997
2.2500,10.1714,0.2000,CONTACT,0.00995
2.2600,10.0198,0.2000,CONTACT,0.00994
2.2700,10.1768,0.2000,CONTACT,0.00992
2.2800,10.0003,0.2000,CONTACT,0.00992
2.2900,9.9111,0.2000,CONTACT,0.00993
2.3000,10.3259,0.2000,CONTACT,0.00990
2.3100,10.2021,0.2000,CONTACT,0.00988
2.3200,9.7406,0.2000,CONTACT,0.00990
2.3300,9.7342,0.2000,CONTACT,0.00993
2.3400,9.6119,0.2000,CONTACT,0.00998
2.3500,9.8847,0.2000,CONTACT,0.00999
2.3600,9.9841,0.2000,CONTACT,0.00999
2.3700,10.0542,0.2000,CONTACT,0.00999
2.3800,10.3052,0.2000,CONTACT,0.00995
2.3900,10.0835,0.2000,CONTACT,0.00994
2.4000,10.2301,0.2000,CONTACT,0.00992
2.4100,9.8763,0.2000,CONTACT,0.00993
2.4200,10.0726,0.2000,CONTACT,0.00992
2.4300,9.8853,0.2000,CONTACT,0.00994
2.4400,9.9318,0.2000,CONTACT,0.00994
2.4500,9.7666,0.2000,CONTACT,0.00997
2.4600,9.9885,0.2000,CONTACT,0.00997
2.4700,10.0937,0.2000,CONTACT,0.00996
2.4800,10.0724,0.2000,CONTACT,0.00995
2.4900,10.1255,0.2000,CONTACT,0.00994
2.5000,9.7602,0.2000,CONTACT,0.00996
2.5100,9.7311,0.2000,CONTACT,0.00999
2.5200,10.2631,0.2000,CONTACT,0.00997
2.5300,10.2495,0.2000,CONTACT,0.00994
2.5400,10.1633,0.2000,CONTACT,0.00992
2.5500,10.0281,0.2000,CONTACT,0.00992
2.5600,10.1613,0.2000,CONTACT,0.00990
2.5700,9.5189,0.2000,CONTACT,0.00995
2.5800,9.8791,0.2000,CONTACT,0.00997
2.5900,9.8426,0.2000,CONTACT,0.00998
2.6000,10.0640,0.2000,CONTACT,0.00998
2.6100,10.1061,0.2000,CONTACT,0.00996
2.6200,9.6528,0.2000,CONTACT,0.01000
2.6300,9.8463,0.2000,CONTACT,0.01002
2.6400,9.9919,0.2000,CONTACT,0.01002
2.6500,10.0113,0.2000,CONTACT,0.01002
2.6600,9.6943,0.2000,CONTACT,0.01005
2.6700,10.3273,0.2000,CONTACT,0.01002
2.6800,9.8713,0.2000,CONTACT,0.01003
2.6900,10.1321,0.2000,CONTACT,0.01002
2.7000,9.7963,0.2000,CONTACT,0.01004
2.7100,9.9965,0.2000,CONTACT,0.01004
2.7200,10.3001,0.2000,CONTACT,0.01001
2.7300,9.7758,0.2000,CONTACT,0.01003
2.7400,10.1010,0.2000,CONTACT,0.01002
2.7500,9.9771,0.2000,CONTACT,0.01002
2.7600,10.3274,0.2000,CONTACT,0.00999
2.7700,10.2050,0.2000,CONTACT,0.00996
2.7800,9.6020,0.2000,CONTACT,0.01001
2.7900,9.9602,0.2000,CONTACT,0.01001
2.8000,10.4322,0.2000,CONTACT,0.00996
2.8100,9.6366,0.2000,CONTACT,0.01000
2.8200,9.5102,0.2000,CONTACT,0.01006
2.8300,10.2577,0.2000,CONTACT,0.01003
2.8400,10.1436,0.2000,CONTACT,0.01001
2.8500,9.9771,0.2000,CONTACT,0.01002
2.8600,10.1600,0.2000,CONTACT,0.01000
2.8700,9.8914,0.2000,CONTACT,0.01001
2.8800,10.1383,0.2000,CONTACT,0.01000
2.8900,9.9480,0.2000,CONTACT,0.01000
2.9000,9.7232,0.2000,CONTACT,0.01003
2.9100,10.0797,0.2000,CONTACT,0.01002
2.9200,9.9639,0.2000,CONTACT,0.01003
2.9300,9.9993,0.2000,CONTACT,0.01003
2.9400,9.9460,0.2000,CONTACT,0.01003
2.9500,9.8501,0.2000,CONTACT,0.01005
2.9600,10.1204,0.2000,CONTACT,0.01004
2.9700,9.6471,0.2000,CONTACT,0.01008
2.9800,10.0097,0.2000,CONTACT,0.01007
2.9900,10.0878,0.2000,CONTACT,0.01007
3.0000,9.8769,0.2000,CONTACT,0.01008
3.0100,9.8131,0.2000,CONTACT,0.01010
3.0200,10.1541,0.2000,CONTACT,0.01008
3.0300,9.7930,0.2000,CONTACT,0.01011
3.0400,10.0988,0.2000,CONTACT,0.01009
3.0500,9.9713,0.2000,CONTACT,0.01010
3.0600,10.5086,0.2000,CONTACT,0.01004
3.0700,9.8766,0.2000,CONTACT,0.01005
3.0800,10.0202,0.2000,CONTACT,0.01005
3.0900,9.9017,0.2000,CONTACT,0.01006
3.1000,10.2765,0.2000,CONTACT,0.01003
3.1100,9.9222,0.2000,CONTACT,0.01004
3.1200,10.2497,0.2000,CONTACT,0.01001
3.1300,10.0300,0.2000,CONTACT,0.01001
3.1400,10.3605,0.2000,CONTACT,0.00997
3.1500,10.1272,0.2000,CONTACT,0.00996
3.1600,9.9915,0.2000,CONTACT,0.00996
3.1700,9.5828,0.2000,CONTACT,0.01000
3.1800,10.3186,0.2000,CONTACT,0.00997
3.1900,10.1577,0.2000,CONTACT,0.00995
3.2000,9.9601,0.2000,CONTACT,0.00995
3.2100,9.6187,0.2000,CONTACT,0.01000
3.2200,9.6635,0.2000,CONTACT,0.01003
3.2300,10.1574,0.2000,CONTACT,0.01002
3.2400,10.0905,0.2000,CONTACT,0.01001
3.2500,10.3822,0.2000,CONTACT,0.00996
3.2600,10.0947,0.2000,CONTACT,0.00995
3.2700,9.9422,0.2000,CONTACT,0.00996
3.2800,9.6296,0.2000,CONTACT,0.01000
3.2900,10.2585,0.2000,CONTACT,0.00997
3.3000,9.7992,0.2000,CONTACT,0.01000
3.3100,9.7169,0.2000,CONTACT,0.01003
3.3200,9.9229,0.2000,CONTACT,0.01004
3.3300,10.3163,0.2000,CONTACT,0.01000
3.3400,9.7436,0.2000,CONTACT,0.01003
3.3500,10.2325,0.2000,CONTACT,0.01000
3.3600,9.9349,0.2000,CONTACT,0.01001
3.3700,10.1457,0.2000,CONTACT,0.00999
3.3800,10.2307,0.2000,CONTACT,0.00997
3.3900,10.0831,0.2000,CONTACT,0.00996
3.4000,9.7856,0.2000,CONTACT,0.00998
3.4100,9.7447,0.2000,CONTACT,0.01001
3.4200,9.9154,0.2000,CONTACT,0.01002
3.4300,9.8009,0.2000,CONTACT,0.01004
3.4400,10.0182,0.2000,CONTACT,0.01004
3.4500,9.9223,0.2000,CONTACT,0.01005
3.4600,10.6182,0.2000,CONTACT,0.00998
3.4700,10.1902,0.2000,CONTACT,0.00996
3.4800,9.9522,0.2000,CONTACT,0.00996
3.4900,9.9870,0.2000,CONTACT,0.00997
3.5000,10.3190,0.2000,CONTACT,0.00993
3.5100,9.7339,0.2000,CONTACT,0.00996
3.5200,9.4850,0.2000,CONTACT,0.01002
3.5300,10.2144,0.2000,CONTACT,0.00999
3.5400,10.2363,0.2000,CONTACT,0.00997
3.5500,9.9754,0.2000,CONTACT,0.00997
3.5600,9.8952,0.2000,CONTACT,0.00998
3.5700,10.0088,0.2000,CONTACT,0.00998
3.5800,10.1631,0.2000,CONTACT,0.00996
3.5900,9.8735,0.2000,CONTACT,0.00998
3.6000,9.5293,0.2000,CONTACT,0.01003
3.6100,9.9797,0.2000,CONTACT,0.01003
3.6200,9.8941,0.2000,CONTACT,0.01004
3.6300,9.8898,0.2000,CONTACT,0.01006
3.6400,10.2874,0.2000,CONTACT,0.01002
3.6500,9.7340,0.2000,CONTACT,0.01005
3.6600,10.1090,0.2000,CONTACT,0.01004
3.6700,10.0830,0.2000,CONTACT,0.01003
3.6800,9.7726,0.2000,CONTACT,0.01006
3.6900,9.8229,0.2000,CONTACT,0.01008
3.7000,9.8094,0.2000,CONTACT,0.01010
3.7100,10.2433,0.2000,CONTACT,0.01007
3.7200,9.8398,0.2000,CONTACT,0.01009
3.7300,10.1928,0.2000,CONTACT,0.01007
3.7400,10.3524,0.2000,CONTACT,0.01003
3.7500,9.9122,0.2000,CONTACT,0.01004
3.7600,10.1682,0.2000,CONTACT,0.01002
3.7700,9.7431,0.2000,CONTACT,0.01005
3.7800,10.2570,0.2000,CONTACT,0.01002
3.7900,10.1639,0.2000,CONTACT,0.01000
3.8000,10.2694,0.2000,CONTACT,0.00997
3.8100,9.8488,0.2000,CONTACT,0.00999
3.8200,10.2765,0.2000,CONTACT,0.00996
3.8300,10.3176,0.2000,CONTACT,0.00992
3.8400,9.9202,0.2000,CONTACT,0.00993
3.8500,9.9070,0.2000,CONTACT,0.00994
3.8600,9.9817,0.2000,CONTACT,0.00994
3.8700,10.0816,0.2000,CONTACT,0.00993
3.8800,9.7624,0.2000,CONTACT,0.00996
3.8900,10.2022,0.2000,CONTACT,0.00994
3.9000,9.5541,0.2000,CONTACT,0.00999
3.9100,9.8533,0.2000,CONTACT,0.01000
3.9200,10.1822,0.2000,CONTACT,0.00998
3.9300,10.2236,0.2000,CONTACT,0.00996
3.9400,9.6544,0.2000,CONTACT,0.01000
3.9500,9.9656,0.2000,CONTACT,0.01000
3.9600,9.4552,0.2000,CONTACT,0.01006
3.9700,10.4943,0.2000,CONTACT,0.01001
3.9800,10.0067,0.2000,CONTACT,0.01001
3.9900,10.0535,0.2000,CONTACT,0.01000
4.0000,10.3308,0.2000,CONTACT,0.00996
4.0100,10.0248,0.2000,CONTACT,0.00996
4.0200,10.0419,0.2000,CONTACT,0.00996
4.0300,10.4964,0.2000,CONTACT,0.00990
4.0400,10.1644,0.2000,CONTACT,0.00988
4.0500,9.7082,0.2000,CONTACT,0.00991
4.0600,9.7731,0.2000,CONTACT,0.00994
4.0700,9.8719,0.2000,CONTACT,0.00995
4.0800,9.7068,0.2000,CONTACT,0.00999
4.0900,10.0181,0.2000,CONTACT,0.00998
4.1000,9.9858,0.2000,CONTACT,0.00999
4.1100,10.2071,0.2000,CONTACT,0.00996
4.1200,9.8537,0.2000,CONTACT,0.00998
4.1300,10.0280,0.2000,CONTACT,0.00998
4.1400,9.9656,0.2000,CONTACT,0.00998
4.1500,9.6551,0.2000,CONTACT,0.01002
4.1600,9.7065,0.2000,CONTACT,0.01005
4.1700,10.0243,0.2000,CONTACT,0.01005
4.1800,10.0602,0.2000,CONTACT,0.01004
4.1900,10.1553,0.2000,CONTACT,0.01002
4.2000,9.9624,0.2000,CONTACT,0.01003
4.2100,9.8831,0.2000,CONTACT,0.01004
4.2200,10.4555,0.2000,CONTACT,0.00999
4.2300,10.1862,0.2000,CONTACT,0.00997
4.2400,9.9304,0.2000,CONTACT,0.00998
4.2500,9.8364,0.2000,CONTACT,0.01000
4.2600,9.7801,0.2000,CONTACT,0.01002
4.2700,9.8861,0.2000,CONTACT,0.01003
4.2800,9.8833,0.2000,CONTACT,0.01005
4.2900,10.0053,0.2000,CONTACT,0.01005
4.3000,10.1470,0.2000,CONTACT,0.01003
4.3100,10.2743,0.2000,CONTACT,0.01000
4.3200,9.7278,0.2000,CONTACT,0.01003
4.3300,9.9420,0.2000,CONTACT,0.01004
4.3400,9.7683,0.2000,CONTACT,0.01006
4.3500,10.3841,0.2000,CONTACT,0.01002
4.3600,10.0905,0.2000,CONTACT,0.01001
4.3700,10.0555,0.2000,CONTACT,0.01000
4.3800,9.8892,0.2000,CONTACT,0.01001
4.3900,9.7134,0.2000,CONTACT,0.01005
4.4000,9.9784,0.2000,CONTACT,0.01005
4.4100,10.2220,0.2000,CONTACT,0.01002
4.4200,10.0831,0.2000,CONTACT,0.01002
4.4300,9.8781,0.2000,CONTACT,0.01003
4.4400,9.8524,0.2000,CONTACT,0.01004
4.4500,10.3376,0.2000,CONTACT,0.01001
4.4600,9.8274,0.2000,CONTACT,0.01003
4.4700,10.3132,0.2000,CONTACT,0.00999
4.4800,10.1311,0.2000,CONTACT,0.00998
4.4900,9.9757,0.2000,CONTACT,0.00998
4.5000,10.1166,0.2000,CONTACT,0.00997
4.5100,10.1125,0.2000,CONTACT,0.00995
4.5200,10.0003,0.2000,CONTACT,0.00995
4.5300,9.9487,0.2000,CONTACT,0.00996
4.5400,9.7394,0.2000,CONTACT,0.00999
4.5500,10.0897,0.2000,CONTACT,0.00998
4.5600,9.7380,0.2000,CONTACT,0.01001
4.5700,9.8549,0.2000,CONTACT,0.01002
4.5800,9.7794,0.2000,CONTACT,0.01005
4.5900,10.0138,0.2000,CONTACT,0.01005
4.6000,10.4161,0.2000,CONTACT,0.01000
4.6100,9.8149,0.2000,CONTACT,0.01002
4.6200,10.0340,0.2000,CONTACT,0.01002
4.6300,10.2669,0.2000,CONTACT,0.00999
4.6400,10.2749,0.2000,CONTACT,0.00996
4.6500,9.6672,0.2000,CONTACT,0.00999
4.6600,10.1216,0.2000,CONTACT,0.00998
4.6700,10.1213,0.2000,CONTACT,0.00997
4.6800,10.2534,0.2000,CONTACT,0.00994
4.6900,9.7481,0.2000,CONTACT,0.00997
4.7000,10.1586,0.2000,CONTACT,0.00995
4.7100,10.1738,0.2000,CONTACT,0.00993
4.7200,9.8353,0.2000,CONTACT,0.00995
4.7300,9.8515,0.2000,CONTACT,0.00997
4.7400,9.8604,0.2000,CONTACT,0.00998
4.7500,10.0365,0.2000,CONTACT,0.00998
4.7600,10.1955,0.2000,CONTACT,0.00996
4.7700,10.0238,0.2000,CONTACT,0.00995
4.7800,9.7405,0.2000,CONTACT,0.00998
4.7900,10.0086,0.2000,CONTACT,0.00998
4.8000,9.6657,0.2000,CONTACT,0.01002
4.8100,10.0362,0.2000,CONTACT,0.01001
4.8200,10.1885,0.2000,CONTACT,0.00999
4.8300,9.8459,0.2000,CONTACT,0.01001
4.8400,10.0418,0.2000,CONTACT,0.01001
4.8500,10.1505,0.2000,CONTACT,0.00999
4.8600,9.8231,0.2000,CONTACT,0.01001
4.8700,9.8856,0.2000,CONTACT,0.01002
4.8800,9.8567,0.2000,CONTACT,0.01004
4.8900,10.0314,0.2000,CONTACT,0.01003
4.9000,10.0396,0.2000,CONTACT,0.01003
4.9100,10.1087,0.2000,CONTACT,0.01002
4.9200,9.7704,0.2000,CONTACT,0.01004
4.9300,10.4139,0.2000,CONTACT,0.01000
4.9400,10.8477,0.2000,CONTACT,0.00990
4.9500,11.8658,0.2000,CONTACT,0.00969
4.9600,12.7700,0.2000,CONTACT,0.00939
4.9700,13.5379,0.2000,CONTACT,0.00899
